Artist,Genre,Artist_uri,Artist_id
Billy Joel,rock,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,6zFYqv1mOsgBRQbae3JJ9e
The Rolling Stones,rock,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,22bE4uQ6baNwSHPVcDxLCe
The 1975,rock,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,3mIj9lX2MWuHmhNCA7LSCW
Creedence Clearwater Revival,rock,spotify:artist:3IYUhFvPQItj6xySrBmZkd,3IYUhFvPQItj6xySrBmZkd
Muse,rock,spotify:artist:12Chz98pHFMPJEknJQMWvI,12Chz98pHFMPJEknJQMWvI
David Bowie,rock,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy
The Neighbourhood,rock,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,77SW9BnxLY8rJ0RciFqkHh
Thomas Rhett,rock,spotify:artist:6x2LnllRG5uGarZMsD4iO8,6x2LnllRG5uGarZMsD4iO8
Radiohead,rock,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,4Z8W4fKeB5YxbusRsdQVPb
AJR,rock,spotify:artist:6s22t5Y3prQHyaHWUN1R1C,6s22t5Y3prQHyaHWUN1R1C
Mumford & Sons,rock,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,3gd8FJtBJtkRxdfbTu19U2
Weezer,rock,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,3jOstUTkEu2JkjvRdBA5Gu
blink-182,rock,spotify:artist:6FBDaR13swtiWwGhX1WQsP,6FBDaR13swtiWwGhX1WQsP
Nirvana,rock,spotify:artist:6olE6TJLqED3rqDCT0FyPh,6olE6TJLqED3rqDCT0FyPh
Journey,rock,spotify:artist:0rvjqX7ttXeg3mTy8Xscbt,0rvjqX7ttXeg3mTy8Xscbt
Guns N' Roses,rock,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,3qm84nBOXUEQ2vnTfUTTFC
Aerosmith,rock,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,7Ey4PD4MYsKc5I2dolUwbH
Cage The Elephant,rock,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3,26T3LtbuGT1Fu9m0eRq5X3
X Ambassadors,rock,spotify:artist:3NPpFNZtSTHheNBaWC82rB,3NPpFNZtSTHheNBaWC82rB
Kings of Leon,rock,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,2qk9voo8llSGYcZ6xrBzKx
Grateful Dead,rock,spotify:artist:4TMHGUX5WI7OOm53PqSDAT,4TMHGUX5WI7OOm53PqSDAT
Green Day,rock,spotify:artist:7oPftvlwr6VrsViSDV7fJY,7oPftvlwr6VrsViSDV7fJY
OneRepublic,rock,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,5Pwc4xIPtQLFEnJriah9YJ
Greta Van Fleet,rock,spotify:artist:4NpFxQe2UvRCAjto3JqlSl,4NpFxQe2UvRCAjto3JqlSl
Vance Joy,rock,spotify:artist:10exVja0key0uqUkk6LJRT,10exVja0key0uqUkk6LJRT
Daryl Hall & John Oates,rock,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,77tT1kLj6mCWtFNqiOmP9H
Lynyrd Skynyrd,rock,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,4MVyzYMgTwdP7Z49wAZHx0
The Black Keys,rock,spotify:artist:7mnBLXK823vNxN3UWB7Gfz,7mnBLXK823vNxN3UWB7Gfz
Eric Church,rock,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV,2IvkS5MXK0vPGnwyJsrEyV
Paul McCartney,rock,spotify:artist:4STHEaNw4mPZ2tzheohgXB,4STHEaNw4mPZ2tzheohgXB
Foster The People,rock,spotify:artist:7gP3bB2nilZXLfPHJhMdvc,7gP3bB2nilZXLfPHJhMdvc
U2,rock,spotify:artist:51Blml2LZPmy7TTiAg47vQ,51Blml2LZPmy7TTiAg47vQ
Tom Petty and the Heartbreakers,rock,spotify:artist:4tX2TplrkIP4v05BNC903e,4tX2TplrkIP4v05BNC903e
Foo Fighters,rock,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,7jy3rLJdDQY21OgRLCZ9sD
Van Halen,rock,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,2cnMpRsOVqtPMfq7YiFE6K
Tame Impala,rock,spotify:artist:5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb
The Lumineers,rock,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,16oZKvXb6WkQlVAjwo2Wbg
Jimi Hendrix,rock,spotify:artist:776Uo845nYHJpNaStv1Ds4,776Uo845nYHJpNaStv1Ds4
Pearl Jam,rock,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,1w5Kfo2jwwIPruYS2UWh56
Bob Dylan,rock,spotify:artist:74ASZWbe4lXaubB36ztrGX,74ASZWbe4lXaubB36ztrGX
Van Morrison,rock,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,44NX2ffIYHr6D4n7RaZF7A
The Doors,rock,spotify:artist:22WZ7M8sxp5THdruNY3gXt,22WZ7M8sxp5THdruNY3gXt
The Beach Boys,rock,spotify:artist:3oDbviiivRWhXwIE8hxkVV,3oDbviiivRWhXwIE8hxkVV
Young the Giant,rock,spotify:artist:4j56EQDQu5XnL7R3E9iFJT,4j56EQDQu5XnL7R3E9iFJT
Elvis Presley,rock,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,43ZHCT0cAZBISjO8DG9PnE
Toto,rock,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,0PFtn5NtBbbUNbU9EAmIWF
The Strokes,rock,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,0epOFNiUfyON9EYx7Tpr6V
Electric Light Orchestra,rock,spotify:artist:7jefIIksOi1EazgRTfW2Pk,7jefIIksOi1EazgRTfW2Pk
Jason Mraz,rock,spotify:artist:4phGZZrJZRo4ElhRtViYdl,4phGZZrJZRo4ElhRtViYdl
Zac Brown Band,rock,spotify:artist:6yJCxee7QumYr820xdIsjo,6yJCxee7QumYr820xdIsjo
Rainbow Kitten Surprise,rock,spotify:artist:4hz8tIajF2INpgM0qzPJz2,4hz8tIajF2INpgM0qzPJz2
The Fray,rock,spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,0zOcE3mg9nS6l3yxt1Y0bK
Skillet,rock,spotify:artist:49bzE5vRBRIota4qeHtQM8,49bzE5vRBRIota4qeHtQM8
alt-J,rock,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,3XHO7cRUPCLOr6jwp8vsx5
Black Sabbath,rock,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,5M52tdBnJaKSvOpJGz8mfZ
Rebelution,rock,spotify:artist:2WjvvwAX0mdWwq3aFuUdtc,2WjvvwAX0mdWwq3aFuUdtc
The White Stripes,rock,spotify:artist:4F84IBURUo98rz4r61KF70,4F84IBURUo98rz4r61KF70
Portugal. The Man,rock,spotify:artist:4kI8Ie27vjvonwaB2ePh8T,4kI8Ie27vjvonwaB2ePh8T
The Smashing Pumpkins,rock,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,40Yq4vzPs9VNUrIBG5Jr2i
MGMT,rock,spotify:artist:0SwO7SWeDHJijQ3XNS7xEE,0SwO7SWeDHJijQ3XNS7xEE
Tom Petty,rock,spotify:artist:2UZMlIwnkgAEDBsw1Rejkn,2UZMlIwnkgAEDBsw1Rejkn
Breaking Benjamin,rock,spotify:artist:5BtHciL0e0zOP7prIHn3pP,5BtHciL0e0zOP7prIHn3pP
Rascal Flatts,rock,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn,0a1gHP0HAqALbEyxaD5Ngn
Bon Jovi,rock,spotify:artist:58lV9VcRSjABbAbfWS6skp,58lV9VcRSjABbAbfWS6skp
John Denver,rock,spotify:artist:7EK1bQADBoqbYXnT4Cqv9w,7EK1bQADBoqbYXnT4Cqv9w
System Of A Down,rock,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,5eAWCfyUhZtHHtBdNk56l1
The Cranberries,rock,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,7t0rwkOPGlDPEhaOcVtOt9
Dirty Heads,rock,spotify:artist:6GkJh85o22LfD2vgL9DP6f,6GkJh85o22LfD2vgL9DP6f
Phil Collins,rock,spotify:artist:4lxfqrEsLX6N1N4OCSkILp,4lxfqrEsLX6N1N4OCSkILp
Steely Dan,rock,spotify:artist:6P7H3ai06vU1sGvdpBwDmE,6P7H3ai06vU1sGvdpBwDmE
Shinedown,rock,spotify:artist:70BYFdaZbEKbeauJ670ysI,70BYFdaZbEKbeauJ670ysI
WALK THE MOON,rock,spotify:artist:6DIS6PRrLS3wbnZsf7vYic,6DIS6PRrLS3wbnZsf7vYic
Incubus,rock,spotify:artist:3YcBF2ttyueytpXtEzn1Za,3YcBF2ttyueytpXtEzn1Za
Santana,rock,spotify:artist:6GI52t8N5F02MxU0g5U69P,6GI52t8N5F02MxU0g5U69P
lovelytheband,rock,spotify:artist:4KJ6jujcNPzOyhdNoiNftp,4KJ6jujcNPzOyhdNoiNftp
Hillsong United,rock,spotify:artist:74cb3MG0x0BOnYNW1uXYnM,74cb3MG0x0BOnYNW1uXYnM
The Police,rock,spotify:artist:5NGO30tJxFlKixkPSgXcFE,5NGO30tJxFlKixkPSgXcFE
Bruce Springsteen,rock,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,3eqjTLE0HfPfh78zjh6TqT
The Who,rock,spotify:artist:67ea9eGLXYMsO2eYQRui3w,67ea9eGLXYMsO2eYQRui3w
Beck,rock,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,3vbKDsSS70ZX9D2OcvbZmS
Glass Animals,rock,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,4yvcSjfu4PC0CYQyLy4wSq
Drake,hip-hop,spotify:artist:3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4
Lil Wayne,hip-hop,spotify:artist:55Aa2cqylxrFIXC767Z865,55Aa2cqylxrFIXC767Z865
Eminem,hip-hop,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,7dGJo4pcD2V6oG8kP0tJRR
Gunna,hip-hop,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ,2hlmm7s2ICUX0LVIhVFlZQ
Future,hip-hop,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,1RyvyyTE3xzB2ZywiAwp0i
Kendrick Lamar,hip-hop,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg
J. Cole,hip-hop,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5
Lil Peep,hip-hop,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,2kCcBybjl3SAtIcwdWpUe3
Mac Miller,hip-hop,spotify:artist:4LLpKhyESsyAXpc4laK94U,4LLpKhyESsyAXpc4laK94U
Logic,hip-hop,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,4xRYI6VqpkE3UwrDrAZL8L
Wiz Khalifa,hip-hop,spotify:artist:137W8MRPWKqSmrBGDBFSop,137W8MRPWKqSmrBGDBFSop
Metro Boomin,hip-hop,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp
Gucci Mane,hip-hop,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo,13y7CgLHjMVRMDqxdx0Xdo
Lil Yachty,hip-hop,spotify:artist:6icQOAFXDZKsumw3YXyusw,6icQOAFXDZKsumw3YXyusw
Big Sean,hip-hop,spotify:artist:0c173mlxpT3dSFRgMO8XPh,0c173mlxpT3dSFRgMO8XPh
NF,hip-hop,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,6fOMl44jA4Sp5b9PpYCkzz
Russ,hip-hop,spotify:artist:1z7b1Pr1rSlvWRzsW3HOrS,1z7b1Pr1rSlvWRzsW3HOrS
Kevin Gates,hip-hop,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,1gPhS1zisyXr5dHTYZyiMe
21 Savage,hip-hop,spotify:artist:1URnnhqYAYcrqrcwql10ft,1URnnhqYAYcrqrcwql10ft
2 Chainz,hip-hop,spotify:artist:17lzZA2AlOHwCwFALHttmp,17lzZA2AlOHwCwFALHttmp
Young Thug,hip-hop,spotify:artist:50co4Is1HCEo8bhOyUWKpn,50co4Is1HCEo8bhOyUWKpn
Ty Dolla $ign,hip-hop,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq,7c0XG5cIJTrrAgEC3ULPiq
$uicideBoy$,hip-hop,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,1VPmR4DJC1PlOtd0IADAO0
