Artist,Genre,Artist_uri,Artist_id,Followers
Commodores,soul,spotify:artist:6twIAGnYuIT1pncMAsXnEm,6twIAGnYuIT1pncMAsXnEm,568046
Bill Withers,soul,spotify:artist:1ThoqLcyIYvZn7iWbj8fsj,1ThoqLcyIYvZn7iWbj8fsj,544832
Diana Krall,soul,spotify:artist:5z1VAFwT35EVvCp1XlZZuL,5z1VAFwT35EVvCp1XlZZuL,530345
Roy Woods,soul,spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM,7mDU6nMUJnOSY2Hkjz5oqM,501755
Curtis Mayfield,soul,spotify:artist:2AV6XDIs32ofIJhkkDevjm,2AV6XDIs32ofIJhkkDevjm,490155
Jamie Foxx,soul,spotify:artist:7LnaAXbDVIL75IVPnndf7w,7LnaAXbDVIL75IVPnndf7w,470459
Michael Kiwanuka,soul,spotify:artist:0bzfPKdbXL5ezYW2z3UGQj,0bzfPKdbXL5ezYW2z3UGQj,465359
Smokey Robinson & The Miracles,soul,spotify:artist:6TKOZZDd5uV5KnyC5G4MUt,6TKOZZDd5uV5KnyC5G4MUt,455304
Corinne Bailey Rae,soul,spotify:artist:29WzbAQtDnBJF09es0uddn,29WzbAQtDnBJF09es0uddn,412360
The O'Jays,soul,spotify:artist:38h03gA85YYPeDPd9ER9rT,38h03gA85YYPeDPd9ER9rT,408994
Mura Masa,soul,spotify:artist:5Q81rlcTFh3k6DQJXPdsot,5Q81rlcTFh3k6DQJXPdsot,382582
HONNE,soul,spotify:artist:0Vw76uk7P8yVtTClWyOhac,0Vw76uk7P8yVtTClWyOhac,360916
Sly & The Family Stone,soul,spotify:artist:5m8H6zSadhu1j9Yi04VLqD,5m8H6zSadhu1j9Yi04VLqD,349810
Majid Jordan,soul,spotify:artist:4HzKw8XcD0piJmDrrPRCYk,4HzKw8XcD0piJmDrrPRCYk,346851
Macy Gray,soul,spotify:artist:4ylR3zwA0zaapAu94fktwa,4ylR3zwA0zaapAu94fktwa,336578
Sampha,soul,spotify:artist:2WoVwexZuODvclzULjPQtm,2WoVwexZuODvclzULjPQtm,320198
The Spinners,soul,spotify:artist:5fbhwqYYh4YwUoEs582mq5,5fbhwqYYh4YwUoEs582mq5,264830
Gnarls Barkley,soul,spotify:artist:5SbkVQYYzlw1kte75QIabH,5SbkVQYYzlw1kte75QIabH,241058
Charles Bradley,soul,spotify:artist:462T0buQ5ScBUQCRpodDRf,462T0buQ5ScBUQCRpodDRf,239927
Brent Faiyaz,soul,spotify:artist:3tlXnStJ1fFhdScmQeLpuG,3tlXnStJ1fFhdScmQeLpuG,222644
Ben E. King,soul,spotify:artist:3plJVWt88EqjvtuB4ZDRV3,3plJVWt88EqjvtuB4ZDRV3,218128
Donny Hathaway,soul,spotify:artist:0HU0U9kdXEHZVxUNbuQe8S,0HU0U9kdXEHZVxUNbuQe8S,214011
Nao,soul,spotify:artist:7aFTOGFDEqDtJUCziLVsVC,7aFTOGFDEqDtJUCziLVsVC,210781
BJ The Chicago Kid,soul,spotify:artist:07d5etnpjriczFBB8pxmRe,07d5etnpjriczFBB8pxmRe,199502
St. Paul & The Broken Bones,soul,spotify:artist:4fXkvh05wFhuH77MfD4m9o,4fXkvh05wFhuH77MfD4m9o,183696
