Genre,Artist,Artist_id,Song,Song_id,Audio_Metric
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,"[0.48, 0.7, 0.93]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,"[0.56, 0.68, 0.8]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,"[0.48, 0.54, 0.77]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,"[0.11, 0.52, 0.91]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Be Careful,2Yl4OmDby9iitgNWZPwxkd,"[0.54, 0.57, 0.82]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Drip (feat. Migos),2qcG0nZ6S3zZV0UrkY5nFo,"[0.27, 0.59, 0.97]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Fine China,5274I4mUMnYczyeXkGDWZN,"[0.55, 0.54, 0.66]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Hard Work Pays Off,6gzIcEUuswJQGfJNPYMjjv,"[0.61, 0.48, 0.74]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Mask Off,0VgkVdmE4gld66l8iyGjgx,"[0.28, 0.43, 0.83]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,"[0.43, 0.72, 0.56]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Jet Lag (feat. Young Scooter),2OsDoAzo5SGq10qwmKSQBv,"[0.49, 0.46, 0.81]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Jumpman,27GmP9AWRs744SzKcpJsTZ,"[0.66, 0.55, 0.85]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Low Life,7EiZI6JVHllARrX9PUvAdX,"[0.1, 0.33, 0.72]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Realer N Realer,4VMiNOpnjRwSCwmHaUfOMM,"[0.37, 0.47, 0.73]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Bum Bum Tam Tam,6k2900NjJeVqZM55G3Danu,"[0.66, 0.68, 0.9]"
"['pop', 'hip-hop']",Future,1RyvyyTE3xzB2ZywiAwp0i,Astronauts,2vs5ubqg8QUbfyWZpMfvWe,"[0.73, 0.59, 0.73]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,"[0.47, 0.64, 0.86]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,"[0.37, 0.58, 0.8]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,"[0.36, 0.52, 0.75]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Take One,6fI3tBVND8zUXZi9rr2Yps,"[0.48, 0.61, 0.66]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,"[0.81, 0.81, 0.84]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,"If I'm Lyin, I'm Flyin",2uMTscYuCT3BZ0OCzH3MwN,"[0.29, 0.62, 0.71]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Calling My Spirit,6bXSYxP6WDlNCr6Jk1H3MW,"[0.74, 0.36, 0.91]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Tunnel Vision,4Q3N4Ct4zCuIHuZ65E3BD4,"[0.23, 0.49, 0.5]"
['pop'],Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Transportin',1WIZiOuNO3woKfdlSK2gNn,"[0.26, 0.66, 0.8]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,No Brainer,5WvAo7DNuPRmk4APhdPzi8,"[0.64, 0.76, 0.55]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,WORKIN ME,4MAsYGSgxsaj73dC2lvFC4,"[0.23, 0.66, 0.79]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,PASS OUT (feat. 21 Savage),3edzl4zvKFi0D3iuF6cs2f,"[0.44, 0.79, 0.92]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,LOSE IT (feat. Lil Baby),69PkhA9q3xCWU2CzoZnLAu,"[0.73, 0.57, 0.96]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,"[0.5, 0.64, 0.85]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,Ice Tray,3wdfLVUhmX64lIyWIIEW8s,"[0.24, 0.49, 0.89]"
['pop'],Quavo,0VRj0yCOv2FXJNP47XQnx5,Saint,7foypmc7KZyU716Yv63BPe,"[0.07, 0.64, 0.86]"
