Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - With You Remix,1Bgfn4UWF12xx1FiODqa4j
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Grandtheft Remix,2aZg0to4VSRb3CXFdcPAMp
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Grandtheft Radio Edit Remix,2p6EGiqzRjhsprFXwFExI5
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Grandtheft Remix,3ypseB82bDUiUAnL5R4yGF
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Bad Royale Remix,7hZlJi2VKfvM9WL5BJo0i8
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Bad Royale,7kHe4uFK1KQFqMRP7td4mS,Whole Lotta Lovin' - Bad Royale Remix,7hZlJi2VKfvM9WL5BJo0i8
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Djemba Djemba Remix,4GnTHqR5cSeJgBOWXLIFT3
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Djemba Djemba,4nBB1w8Yl5brdn4CGxqfMs,Whole Lotta Lovin' - Djemba Djemba Remix,4GnTHqR5cSeJgBOWXLIFT3
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - Le Boeuf Remix,0ve8TlcRP5e6N9p4C4hQ9Z
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Le Boeuf,6yTeWbdwQqIVfU1jGk2aeH,Whole Lotta Lovin' - Le Boeuf Remix,0ve8TlcRP5e6N9p4C4hQ9Z
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - LeMarquis Remix,0z9PMxrUVfCLc3e7itESJL
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,LeMarquis,6w9iqkoyGAs9PRssKIvq9G,Whole Lotta Lovin' - LeMarquis Remix,0z9PMxrUVfCLc3e7itESJL
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin',01gNiOqg8u7vT90uVgOVmz
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin',7i7AAhZxVZkwFbgLOAyRcU
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Piss On Your Grave,3Y4sw5n11uJPEU3o788KbA
